avg_rating,helpful,model,product,q_and_a,rating,recommended,skuId,total_reviews,unhelpful,user
4.7,1,SMG960UZDV,Samsung - Galaxy S9 64GB - Sunrise Gold (Verizon),122,2,97%,6251805,2499,2,Simplysouthern
4.7,2,SMG960UZDV,Samsung - Galaxy S9 64GB - Sunrise Gold (Verizon),122,5,97%,6251805,2499,3,Carwen
4.7,6,SMG960UZDV,Samsung - Galaxy S9 64GB - Sunrise Gold (Verizon),122,5,97%,6251805,2499,0,Vera
4.7,19,SMG960UZDV,Samsung - Galaxy S9 64GB - Sunrise Gold (Verizon),122,5,97%,6251805,2499,3,twilly
4.7,8,SMG960UZDV,Samsung - Galaxy S9 64GB - Sunrise Gold (Verizon),122,1,97%,6251805,2499,12,thecrg
4.7,15,SMG960UZDV,Samsung - Galaxy S9 64GB - Sunrise Gold (Verizon),122,5,97%,6251805,2499,1,MRes
4.7,0,SMG960UZDV,Samsung - Galaxy S9 64GB - Sunrise Gold (Verizon),122,5,97%,6251805,2499,0,HTSME
4.7,0,SMG960UZDV,Samsung - Galaxy S9 64GB - Sunrise Gold (Verizon),122,1,97%,6251805,2499,1,teacher
4.7,12,SMG960UZDV,Samsung - Galaxy S9 64GB - Sunrise Gold (Verizon),122,1,97%,6251805,2499,10,Notessh
4.7,0,SMG960UZDV,Samsung - Galaxy S9 64GB - Sunrise Gold (Verizon),122,5,97%,6251805,2499,0,BestBuyHandDryer4Life
4.7,16,MN8K2LL/A,Apple - iPhone 7 32GB - Rose Gold (Verizon),54,1,96%,5581583,3398,22,jenny
4.7,14,MN8K2LL/A,Apple - iPhone 7 32GB - Rose Gold (Verizon),54,4,96%,5581583,3398,3,Snakeeyez1976
4.7,2,MN8K2LL/A,Apple - iPhone 7 32GB - Rose Gold (Verizon),54,5,96%,5581583,3398,0,Nannersaz
4.7,3,MN8K2LL/A,Apple - iPhone 7 32GB - Rose Gold (Verizon),54,4,96%,5581583,3398,0,DK10
4.7,4,MN8K2LL/A,Apple - iPhone 7 32GB - Rose Gold (Verizon),54,4,96%,5581583,3398,0,Smarthomeobsessed
4.7,2,MN8K2LL/A,Apple - iPhone 7 32GB - Rose Gold (Verizon),54,3,96%,5581583,3398,1,xxxxx
4.7,6,MN8K2LL/A,Apple - iPhone 7 32GB - Rose Gold (Verizon),54,5,96%,5581583,3398,0,Texstechfan
4.7,2,MN8K2LL/A,Apple - iPhone 7 32GB - Rose Gold (Verizon),54,2,96%,5581583,3398,1,Grimmbro
